date,place,sun_dur,prec,weather_label,weather_no
231016,ebina,0.95,0.0,cnrn,9
231016,gotenba,0.917,0.0,cnrn,9
231017,odawara,0.967,0.0,cnrn,9
231017,ebina,0.967,0.0,cnrn,9
231017,gotenba,0.933,0.0,cnrn,9
231018,odawara,0.95,0.0,cnrn,9
231018,ebina,0.75,0.0,cfrn,6
231018,gotenba,0.933,0.0,cnrn,9
231019,odawara,0.983,0.0,cnrn,9
231019,ebina,0.95,0.0,cnrn,9
231019,gotenba,0.95,0.0,cnrn,9
231020,odawara,0.367,0.0,cfrn,6
231020,ebina,0.7,0.0,cfrn,6
231020,gotenba,0.533,0.0,cfrn,6
231021,odawara,0.75,0.0,cfrn,6
231021,ebina,0.683,0.0,cfrn,6
231021,gotenba,0.883,0.0,cfrn,6
231022,odawara,0.467,0.0,cfrn,6
231022,ebina,0.817,0.0,cfrn,6
231022,gotenba,0.733,0.0,cfrn,6
231023,odawara,0.783,0.0,cfrn,6
231023,ebina,0.617,0.0,cfrn,6
231023,gotenba,0.833,0.0,cfrn,6
231024,odawara,0.95,0.0,cnrn,9
231024,ebina,0.95,0.0,cnrn,9
231024,gotenba,0.917,0.0,cnrn,9
231025,odawara,0.417,0.0,cfrn,6
231025,ebina,0.25,0.0,cfrn,6
231025,gotenba,0.417,0.0,cfrn,6
231026,odawara,0.95,0.0,cnrn,9
231026,ebina,0.933,0.0,cnrn,9
231026,gotenba,0.917,0.0,cnrn,9
231027,odawara,0.917,0.0,cnrn,9
231027,ebina,0.933,0.0,cnrn,9
231027,gotenba,1.1,0.0,cnrn,9
231028,odawara,1.0,0.0,cnrn,9
231028,ebina,0.75,0.0,cfrn,6
231028,gotenba,0.96,0.0,cnrn,9
231029,odawara,0.36,9.0,cfrf,5
231029,ebina,0.16,4.0,cfrf,5
231029,gotenba,0.36,15.0,cfry,4
231030,odawara,1.14,0.0,cnrn,9
231030,ebina,1.1,0.0,cnrn,9
231030,gotenba,1.06,0.0,cnrn,9
231031,odawara,0.02,0.0,cyrn,3
231031,ebina,0.14,0.0,cfrn,6
231031,gotenba,0.08,0.0,cyrn,3
231101,odawara,1.1,0.0,cnrn,9
231101,ebina,1.1,0.0,cnrn,9
231101,gotenba,1.04,0.0,cnrn,9
231102,odawara,1.08,0.0,cnrn,9
231102,ebina,1.08,0.0,cnrn,9
231102,gotenba,1.02,0.0,cnrn,9
231103,odawara,1.12,0.0,cnrn,9
231103,ebina,1.06,0.0,cnrn,9
231103,gotenba,1.08,0.0,cnrn,9
231104,odawara,1.12,0.0,cnrn,9
231104,ebina,1.1,0.0,cnrn,9
231104,gotenba,0.98,0.0,cnrn,9
231105,odawara,0.5,0.0,cfrn,6
231105,ebina,0.22,0.0,cfrn,6
231105,gotenba,0.94,0.0,cnrn,9
231106,odawara,0.48,0.0,cfrn,6
231106,ebina,0.26,3.5,cfrf,5
231106,gotenba,0.46,0.0,cfrn,6
231107,odawara,0.46,14.5,cfry,4
231107,ebina,0.4,8.5,cfrf,5
